,開催回,抽選日,抽選数字
0,第0001回,1994/10/07,191
1,第0002回,1994/10/14,988
2,第0003回,1994/10/21,194
3,第0004回,1994/10/28,105
4,第0005回,1994/11/04,592
5,第0006回,1994/11/11,792
6,第0007回,1994/11/18,708
7,第0008回,1994/11/25,234
8,第0009回,1994/12/02,243
9,第0010回,1994/12/09,340
10,第0011回,1994/12/16,326
11,第0012回,1994/12/23,247
12,第0013回,1994/12/30,229
13,第0014回,1995/01/06,743
14,第0015回,1995/01/10,019
15,第0016回,1995/01/13,179
16,第0017回,1995/01/17,475
17,第0018回,1995/01/20,291
18,第0019回,1995/01/24,852
19,第0020回,1995/01/27,502
20,第0021回,1995/01/31,558
21,第0022回,1995/02/03,951
22,第0023回,1995/02/07,912
23,第0024回,1995/02/10,039
24,第0025回,1995/02/14,458
25,第0026回,1995/02/17,984
26,第0027回,1995/02/21,917
27,第0028回,1995/02/24,789
28,第0029回,1995/02/28,589
29,第0030回,1995/03/03,725
30,第0031回,1995/03/07,073
31,第0032回,1995/03/10,547
32,第0033回,1995/03/14,063
33,第0034回,1995/03/17,634
34,第0035回,1995/03/21,333
35,第0036回,1995/03/24,405
36,第0037回,1995/03/28,168
37,第0038回,1995/03/31,389
38,第0039回,1995/04/04,587
39,第0040回,1995/04/07,304
40,第0041回,1995/04/11,048
41,第0042回,1995/04/14,228
42,第0043回,1995/04/18,922
43,第0044回,1995/04/21,697
44,第0045回,1995/04/25,970
45,第0046回,1995/04/28,298
46,第0047回,1995/05/02,989
47,第0048回,1995/05/05,202
48,第0049回,1995/05/09,476
49,第0050回,1995/05/12,042
50,第0051回,1995/05/16,802
51,第0052回,1995/05/19,717
52,第0053回,1995/05/23,889
53,第0054回,1995/05/26,226
54,第0055回,1995/05/30,728
55,第0056回,1995/06/02,929
56,第0057回,1995/06/06,836
57,第0058回,1995/06/09,383
58,第0059回,1995/06/13,410
59,第0060回,1995/06/16,980
60,第0061回,1995/06/20,542
61,第0062回,1995/06/23,725
62,第0063回,1995/06/27,251
63,第0064回,1995/06/30,260
64,第0065回,1995/07/04,588
65,第0066回,1995/07/07,512
66,第0067回,1995/07/11,512
67,第0068回,1995/07/14,750
68,第0069回,1995/07/18,902
69,第0070回,1995/07/21,963
70,第0071回,1995/07/25,661
71,第0072回,1995/07/28,879
72,第0073回,1995/08/01,452
73,第0074回,1995/08/04,174
74,第0075回,1995/08/08,283
75,第0076回,1995/08/11,238
76,第0077回,1995/08/15,972
77,第0078回,1995/08/18,241
78,第0079回,1995/08/22,310
79,第0080回,1995/08/25,882
80,第0081回,1995/08/29,269
81,第0082回,1995/09/01,144
82,第0083回,1995/09/05,174
83,第0084回,1995/09/08,882
84,第0085回,1995/09/12,307
85,第0086回,1995/09/15,864
86,第0087回,1995/09/19,370
87,第0088回,1995/09/22,739
88,第0089回,1995/09/26,697
89,第0090回,1995/09/29,689
90,第0091回,1995/10/03,168
91,第0092回,1995/10/06,957
92,第0093回,1995/10/10,910
93,第0094回,1995/10/13,933
94,第0095回,1995/10/17,306
95,第0096回,1995/10/20,944
96,第0097回,1995/10/24,988
97,第0098回,1995/10/27,562
98,第0099回,1995/10/31,571
99,第0100回,1995/11/03,899
100,第0101回,1995/11/07,945
101,第0102回,1995/11/10,560
102,第0103回,1995/11/14,824
103,第0104回,1995/11/17,610
104,第0105回,1995/11/21,619
105,第0106回,1995/11/24,086
106,第0107回,1995/11/28,082
107,第0108回,1995/12/01,254
108,第0109回,1995/12/05,191
109,第0110回,1995/12/08,385
110,第0111回,1995/12/12,056
111,第0112回,1995/12/15,167
112,第0113回,1995/12/19,744
113,第0114回,1995/12/22,205
114,第0115回,1995/12/26,770
115,第0116回,1995/12/29,366
116,第0117回,1996/01/05,952
117,第0118回,1996/01/09,635
118,第0119回,1996/01/12,952
119,第0120回,1996/01/16,650
120,第0121回,1996/01/19,439
121,第0122回,1996/01/23,458
122,第0123回,1996/01/26,513
123,第0124回,1996/01/30,863
124,第0125回,1996/02/02,409
125,第0126回,1996/02/06,318
126,第0127回,1996/02/09,217
127,第0128回,1996/02/13,855
128,第0129回,1996/02/16,620
129,第0130回,1996/02/20,559
130,第0131回,1996/02/23,820
131,第0132回,1996/02/27,016
132,第0133回,1996/03/01,926
133,第0134回,1996/03/05,603
134,第0135回,1996/03/08,454
135,第0136回,1996/03/12,295
136,第0137回,1996/03/15,819
137,第0138回,1996/03/19,995
138,第0139回,1996/03/22,356
139,第0140回,1996/03/26,054
140,第0141回,1996/03/29,783
141,第0142回,1996/04/02,077
142,第0143回,1996/04/05,694
143,第0144回,1996/04/09,594
144,第0145回,1996/04/12,125
145,第0146回,1996/04/16,766
146,第0147回,1996/04/19,464
147,第0148回,1996/04/23,489
148,第0149回,1996/04/26,003
149,第0150回,1996/04/30,538
150,第0151回,1996/05/03,332
151,第0152回,1996/05/07,224
152,第0153回,1996/05/10,750
153,第0154回,1996/05/14,791
154,第0155回,1996/05/17,126
155,第0156回,1996/05/21,991
156,第0157回,1996/05/24,570
157,第0158回,1996/05/28,604
158,第0159回,1996/05/31,259
159,第0160回,1996/06/04,839
160,第0161回,1996/06/07,284
161,第0162回,1996/06/11,516
162,第0163回,1996/06/14,648
163,第0164回,1996/06/18,198
164,第0165回,1996/06/21,563
165,第0166回,1996/06/25,331
166,第0167回,1996/06/28,233
167,第0168回,1996/07/02,107
168,第0169回,1996/07/05,351
169,第0170回,1996/07/09,574
170,第0171回,1996/07/12,679
171,第0172回,1996/07/16,355
172,第0173回,1996/07/19,581
173,第0174回,1996/07/23,967
174,第0175回,1996/07/26,683
175,第0176回,1996/07/30,203
176,第0177回,1996/08/02,845
177,第0178回,1996/08/06,464
178,第0179回,1996/08/09,168
179,第0180回,1996/08/13,632
180,第0181回,1996/08/16,890
181,第0182回,1996/08/20,439
182,第0183回,1996/08/23,589
183,第0184回,1996/08/27,492
184,第0185回,1996/08/30,882
185,第0186回,1996/09/03,439
186,第0187回,1996/09/06,975
187,第0188回,1996/09/10,254
188,第0189回,1996/09/13,199
189,第0190回,1996/09/17,170
190,第0191回,1996/09/20,424
191,第0192回,1996/09/24,021
192,第0193回,1996/09/27,656
193,第0194回,1996/10/01,812
194,第0195回,1996/10/04,819
195,第0196回,1996/10/08,907
196,第0197回,1996/10/11,728
197,第0198回,1996/10/15,374
198,第0199回,1996/10/18,269
199,第0200回,1996/10/22,411
200,第0201回,1996/10/25,176
201,第0202回,1996/10/29,676
202,第0203回,1996/11/01,093
203,第0204回,1996/11/05,211
204,第0205回,1996/11/08,531
205,第0206回,1996/11/12,938
206,第0207回,1996/11/15,413
207,第0208回,1996/11/19,781
208,第0209回,1996/11/22,920
209,第0210回,1996/11/26,192
210,第0211回,1996/11/29,022
211,第0212回,1996/12/03,151
212,第0213回,1996/12/06,502
213,第0214回,1996/12/10,870
214,第0215回,1996/12/13,215
215,第0216回,1996/12/17,337
216,第0217回,1996/12/20,712
217,第0218回,1996/12/24,594
218,第0219回,1996/12/27,260
219,第0220回,1997/01/07,112
220,第0221回,1997/01/10,514
221,第0222回,1997/01/14,227
222,第0223回,1997/01/17,333
223,第0224回,1997/01/21,466
224,第0225回,1997/01/24,751
225,第0226回,1997/01/28,952
226,第0227回,1997/01/31,188
227,第0228回,1997/02/04,014
228,第0229回,1997/02/07,409
229,第0230回,1997/02/11,383
230,第0231回,1997/02/14,523
231,第0232回,1997/02/18,945
232,第0233回,1997/02/21,065
233,第0234回,1997/02/25,317
234,第0235回,1997/02/28,582
235,第0236回,1997/03/04,830
236,第0237回,1997/03/07,648
237,第0238回,1997/03/11,414
238,第0239回,1997/03/14,741
239,第0240回,1997/03/18,229
240,第0241回,1997/03/21,400
241,第0242回,1997/03/25,066
242,第0243回,1997/03/28,608
243,第0244回,1997/04/01,140
244,第0245回,1997/04/04,827
245,第0246回,1997/04/08,593
246,第0247回,1997/04/11,537
247,第0248回,1997/04/15,193
248,第0249回,1997/04/18,624
249,第0250回,1997/04/22,180
250,第0251回,1997/04/25,227
251,第0252回,1997/04/29,004
252,第0253回,1997/05/02,616
253,第0254回,1997/05/06,238
254,第0255回,1997/05/09,770
255,第0256回,1997/05/13,088
256,第0257回,1997/05/16,935
257,第0258回,1997/05/20,447
258,第0259回,1997/05/23,216
259,第0260回,1997/05/27,061
260,第0261回,1997/05/30,596
261,第0262回,1997/06/03,042
262,第0263回,1997/06/06,839
263,第0264回,1997/06/10,362
264,第0265回,1997/06/13,928
265,第0266回,1997/06/17,972
266,第0267回,1997/06/20,093
267,第0268回,1997/06/24,024
268,第0269回,1997/06/27,782
269,第0270回,1997/07/01,793
270,第0271回,1997/07/04,823
271,第0272回,1997/07/08,783
272,第0273回,1997/07/11,526
273,第0274回,1997/07/15,854
274,第0275回,1997/07/18,806
275,第0276回,1997/07/22,385
276,第0277回,1997/07/25,632
277,第0278回,1997/07/29,877
278,第0279回,1997/08/01,891
279,第0280回,1997/08/05,326
280,第0281回,1997/08/08,907
281,第0282回,1997/08/12,743
282,第0283回,1997/08/15,940
283,第0284回,1997/08/19,588
284,第0285回,1997/08/22,760
285,第0286回,1997/08/26,272
286,第0287回,1997/08/29,925
287,第0288回,1997/09/02,144
288,第0289回,1997/09/05,838
289,第0290回,1997/09/09,167
290,第0291回,1997/09/12,085
291,第0292回,1997/09/16,737
292,第0293回,1997/09/19,663
293,第0294回,1997/09/23,107
294,第0295回,1997/09/26,075
295,第0296回,1997/09/30,880
296,第0297回,1997/10/03,144
297,第0298回,1997/10/06,104
298,第0299回,1997/10/08,155
299,第0300回,1997/10/10,126
300,第0301回,1997/10/13,330
301,第0302回,1997/10/15,001
302,第0303回,1997/10/17,497
303,第0304回,1997/10/20,399
304,第0305回,1997/10/22,367
305,第0306回,1997/10/24,748
306,第0307回,1997/10/27,690
307,第0308回,1997/10/29,519
308,第0309回,1997/10/31,777
309,第0310回,1997/11/03,575
310,第0311回,1997/11/05,104
311,第0312回,1997/11/07,068
312,第0313回,1997/11/10,069
313,第0314回,1997/11/12,242
314,第0315回,1997/11/14,137
315,第0316回,1997/11/17,218
316,第0317回,1997/11/19,190
317,第0318回,1997/11/21,537
318,第0319回,1997/11/24,395
319,第0320回,1997/11/26,598
320,第0321回,1997/11/28,429
321,第0322回,1997/12/01,064
322,第0323回,1997/12/03,375
323,第0324回,1997/12/05,805
324,第0325回,1997/12/08,531
325,第0326回,1997/12/10,930
326,第0327回,1997/12/12,980
327,第0328回,1997/12/15,736
328,第0329回,1997/12/17,543
329,第0330回,1997/12/19,179
330,第0331回,1997/12/22,196
331,第0332回,1997/12/24,167
332,第0333回,1997/12/26,238
333,第0334回,1997/12/29,480
334,第0335回,1998/01/05,950
335,第0336回,1998/01/07,551
336,第0337回,1998/01/09,632
337,第0338回,1998/01/12,704
338,第0339回,1998/01/14,152
339,第0340回,1998/01/16,992
340,第0341回,1998/01/19,259
341,第0342回,1998/01/21,686
342,第0343回,1998/01/23,997
343,第0344回,1998/01/26,035
344,第0345回,1998/01/28,513
345,第0346回,1998/01/30,000
346,第0347回,1998/02/02,718
347,第0348回,1998/02/04,394
348,第0349回,1998/02/06,431
349,第0350回,1998/02/09,638
350,第0351回,1998/02/11,417
351,第0352回,1998/02/13,038
352,第0353回,1998/02/16,996
353,第0354回,1998/02/18,750
354,第0355回,1998/02/20,487
355,第0356回,1998/02/23,852
356,第0357回,1998/02/25,756
357,第0358回,1998/02/27,469
358,第0359回,1998/03/02,277
359,第0360回,1998/03/04,965
360,第0361回,1998/03/06,965
361,第0362回,1998/03/09,640
362,第0363回,1998/03/11,458
363,第0364回,1998/03/13,908
364,第0365回,1998/03/16,887
365,第0366回,1998/03/18,841
366,第0367回,1998/03/20,778
367,第0368回,1998/03/23,805
368,第0369回,1998/03/25,135
369,第0370回,1998/03/27,091
370,第0371回,1998/03/30,798
371,第0372回,1998/04/01,202
372,第0373回,1998/04/03,417
373,第0374回,1998/04/06,409
374,第0375回,1998/04/08,994
375,第0376回,1998/04/10,274
376,第0377回,1998/04/13,155
377,第0378回,1998/04/15,075
378,第0379回,1998/04/17,649
379,第0380回,1998/04/20,820
380,第0381回,1998/04/22,885
381,第0382回,1998/04/24,606
382,第0383回,1998/04/27,081
383,第0384回,1998/04/29,690
384,第0385回,1998/05/01,332
385,第0386回,1998/05/04,578
386,第0387回,1998/05/06,396
387,第0388回,1998/05/08,227
