,開催回,抽選日,抽選数字,year,month,day,weekday,hundred,ten,one
0,第0001回,1994-10-07,191,1994,10,7,4,1,9,1
1,第0002回,1994-10-14,988,1994,10,14,4,9,8,8
2,第0003回,1994-10-21,194,1994,10,21,4,1,9,4
3,第0004回,1994-10-28,105,1994,10,28,4,1,0,5
4,第0005回,1994-11-04,592,1994,11,4,4,5,9,2
5,第0006回,1994-11-11,792,1994,11,11,4,7,9,2
6,第0007回,1994-11-18,708,1994,11,18,4,7,0,8
7,第0008回,1994-11-25,234,1994,11,25,4,2,3,4
8,第0009回,1994-12-02,243,1994,12,2,4,2,4,3
9,第0010回,1994-12-09,340,1994,12,9,4,3,4,0
10,第0011回,1994-12-16,326,1994,12,16,4,3,2,6
11,第0012回,1994-12-23,247,1994,12,23,4,2,4,7
12,第0013回,1994-12-30,229,1994,12,30,4,2,2,9
13,第0014回,1995-01-06,743,1995,1,6,4,7,4,3
14,第0015回,1995-01-10,019,1995,1,10,1,0,1,9
15,第0016回,1995-01-13,179,1995,1,13,4,1,7,9
16,第0017回,1995-01-17,475,1995,1,17,1,4,7,5
17,第0018回,1995-01-20,291,1995,1,20,4,2,9,1
18,第0019回,1995-01-24,852,1995,1,24,1,8,5,2
19,第0020回,1995-01-27,502,1995,1,27,4,5,0,2
20,第0021回,1995-01-31,558,1995,1,31,1,5,5,8
21,第0022回,1995-02-03,951,1995,2,3,4,9,5,1
22,第0023回,1995-02-07,912,1995,2,7,1,9,1,2
23,第0024回,1995-02-10,039,1995,2,10,4,0,3,9
24,第0025回,1995-02-14,458,1995,2,14,1,4,5,8
25,第0026回,1995-02-17,984,1995,2,17,4,9,8,4
26,第0027回,1995-02-21,917,1995,2,21,1,9,1,7
27,第0028回,1995-02-24,789,1995,2,24,4,7,8,9
28,第0029回,1995-02-28,589,1995,2,28,1,5,8,9
29,第0030回,1995-03-03,725,1995,3,3,4,7,2,5
30,第0031回,1995-03-07,073,1995,3,7,1,0,7,3
31,第0032回,1995-03-10,547,1995,3,10,4,5,4,7
32,第0033回,1995-03-14,063,1995,3,14,1,0,6,3
33,第0034回,1995-03-17,634,1995,3,17,4,6,3,4
34,第0035回,1995-03-21,333,1995,3,21,1,3,3,3
35,第0036回,1995-03-24,405,1995,3,24,4,4,0,5
36,第0037回,1995-03-28,168,1995,3,28,1,1,6,8
37,第0038回,1995-03-31,389,1995,3,31,4,3,8,9
38,第0039回,1995-04-04,587,1995,4,4,1,5,8,7
39,第0040回,1995-04-07,304,1995,4,7,4,3,0,4
40,第0041回,1995-04-11,048,1995,4,11,1,0,4,8
41,第0042回,1995-04-14,228,1995,4,14,4,2,2,8
42,第0043回,1995-04-18,922,1995,4,18,1,9,2,2
43,第0044回,1995-04-21,697,1995,4,21,4,6,9,7
44,第0045回,1995-04-25,970,1995,4,25,1,9,7,0
45,第0046回,1995-04-28,298,1995,4,28,4,2,9,8
46,第0047回,1995-05-02,989,1995,5,2,1,9,8,9
47,第0048回,1995-05-05,202,1995,5,5,4,2,0,2
