,開催回,抽選日,抽選数字
0,第6052回,2022/10/03,394
1,第6053回,2022/10/04,009
2,第6054回,2022/10/05,146
3,第6055回,2022/10/06,432
4,第6056回,2022/10/07,031
5,第6057回,2022/10/10,139
6,第6058回,2022/10/11,601
7,第6059回,2022/10/12,630
8,第6030回,2022/09/01,353
9,第6031回,2022/09/02,347
10,第6032回,2022/09/05,591
11,第6033回,2022/09/06,114
12,第6034回,2022/09/07,892
13,第6035回,2022/09/08,020
14,第6036回,2022/09/09,566
15,第6037回,2022/09/12,411
16,第6007回,2022/08/01,827
17,第6008回,2022/08/02,890
18,第6009回,2022/08/03,818
19,第6010回,2022/08/04,475
20,第6011回,2022/08/05,509
21,第6012回,2022/08/08,546
22,第6013回,2022/08/09,498
23,第6014回,2022/08/10,257
24,第5986回,2022/07/01,089
25,第5987回,2022/07/04,671
26,第5988回,2022/07/05,640
27,第5989回,2022/07/06,771
28,第5990回,2022/07/07,628
29,第5991回,2022/07/08,641
30,第5992回,2022/07/11,606
31,第5993回,2022/07/12,043
32,第5964回,2022/06/01,030
33,第5965回,2022/06/02,044
34,第5966回,2022/06/03,677
35,第5967回,2022/06/06,739
36,第5968回,2022/06/07,936
37,第5969回,2022/06/08,640
38,第5970回,2022/06/09,415
39,第5971回,2022/06/10,274
40,第5942回,2022/05/02,468
41,第5943回,2022/05/03,985
42,第5944回,2022/05/04,394
43,第5945回,2022/05/05,655
44,第5946回,2022/05/06,529
45,第5947回,2022/05/09,283
46,第5948回,2022/05/10,408
47,第5949回,2022/05/11,713
48,第5921回,2022/04/01,194
49,第5922回,2022/04/04,060
50,第5923回,2022/04/05,106
51,第5924回,2022/04/06,922
52,第5925回,2022/04/07,622
53,第5926回,2022/04/08,683
54,第5927回,2022/04/11,391
55,第5928回,2022/04/12,338
56,第5898回,2022/03/01,463
57,第5899回,2022/03/02,735
58,第5900回,2022/03/03,907
59,第5901回,2022/03/04,432
60,第5902回,2022/03/07,493
61,第5903回,2022/03/08,348
62,第5904回,2022/03/09,516
63,第5905回,2022/03/10,920
64,第5878回,2022/02/01,372
65,第5879回,2022/02/02,160
66,第5880回,2022/02/03,839
67,第5881回,2022/02/04,094
68,第5882回,2022/02/07,138
69,第5883回,2022/02/08,355
70,第5884回,2022/02/09,008
71,第5885回,2022/02/10,577
72,第5858回,2022/01/04,394
73,第5859回,2022/01/05,917
74,第5860回,2022/01/06,201
75,第5861回,2022/01/07,698
76,第5862回,2022/01/10,758
77,第5863回,2022/01/11,906
78,第5864回,2022/01/12,372
79,第5865回,2022/01/13,387
80,第5836回,2021/12/01,126
81,第5837回,2021/12/02,398
82,第5838回,2021/12/03,856
83,第5839回,2021/12/06,075
84,第5840回,2021/12/07,871
85,第5841回,2021/12/08,570
86,第5842回,2021/12/09,398
87,第5843回,2021/12/10,540
88,第5814回,2021/11/01,042
89,第5815回,2021/11/02,265
90,第5816回,2021/11/03,188
91,第5817回,2021/11/04,063
92,第5818回,2021/11/05,169
93,第5819回,2021/11/08,576
94,第5820回,2021/11/09,024
95,第5821回,2021/11/10,905
