,0
0,522
1,528
2,506
3,529
4,522
5,522
6,534
7,501
8,568
9,491
10,510
11,527
12,507
13,436
14,516
15,523
16,487
17,500
18,490
19,496
20,501
21,487
22,507
23,524
24,502
25,544
26,517
27,515
28,493
29,498
30,522
31,523
32,510
33,532
34,516
35,505
36,487
37,510
38,480
39,497
40,499
41,480
42,507
43,510
44,448
45,452
46,508
47,493
48,485
49,534
50,506
51,469
52,492
53,539
54,514
55,487
56,498
57,445
58,549
59,506
60,487
61,505
62,485
63,514
64,508
65,527
66,500
67,491
68,522
69,505
70,493
71,504
72,528
73,523
74,517
75,491
76,505
77,508
78,527
79,474
80,532
81,462
82,516
83,498
84,522
85,506
86,499
87,507
88,498
89,495
90,523
91,492
92,477
93,477
94,445
95,522
96,502
97,520
98,493
99,487
100,504
101,500
102,524
103,517
104,505
105,491
106,486
107,532
108,502
109,539
110,493
111,523
112,505
113,531
114,528
115,511
116,517
117,495
118,523
119,482
120,517
121,480
122,528
123,477
124,517
125,504
126,469
127,500
128,523
129,505
130,522
131,526
132,498
133,515
134,520
135,516
136,449
137,514
138,498
139,487
140,510
141,500
142,507
143,480
144,523
145,413
146,506
147,487
148,514
149,504
150,507
151,500
152,483
153,491
154,522
155,530
156,495
157,511
158,449
159,506
160,492
161,513
162,498
163,535
164,505
165,502
166,498
167,491
168,439
169,517
170,523
171,499
172,532
173,504
174,500
175,501
176,493
177,506
178,487
179,480
180,487
181,523
182,505
183,501
184,497
185,499
186,511
187,537
188,500
189,498
190,511
191,504
192,491
193,507
194,495
195,523
196,499
197,481
198,535
199,480
200,490
201,386
202,515
203,523
204,504
205,522
206,529
207,522
208,500
209,504
210,504
211,533
212,487
213,516
214,528
215,519
216,505
217,529
218,482
219,497
220,550
221,500
222,523
223,501
224,498
225,532
226,565
227,493
228,495
229,504
230,528
231,495
232,495
233,474
234,500
235,462
236,501
237,487
238,507
239,493
240,495
241,522
242,464
243,523
244,523
245,475
246,495
247,523
248,500
249,515
250,524
251,533
252,504
253,496
254,487
255,496
256,492
257,511
258,494
259,529
260,495
261,487
262,528
263,499
264,491
265,523
266,515
267,495
268,506
269,515
270,450
271,476
272,505
273,487
274,522
275,515
276,534
277,528
278,528
279,493
280,565
281,555
282,500
283,487
284,514
285,460
286,516
287,506
288,523
289,493
290,499
291,549
292,504
293,511
294,504
295,550
296,495
297,498
298,482
299,528
300,506
301,487
302,492
303,506
304,487
305,490
306,495
307,523
308,469
309,483
310,511
311,522
312,506
313,497
314,472
315,505
316,498
317,487
318,491
319,519
320,517
321,496
322,523
323,532
324,493
325,522
326,515
327,491
328,487
329,504
330,498
331,487
332,532
333,528
334,493
335,485
336,516
337,527
338,498
339,515
340,445
341,498
342,487
343,507
344,514
345,498
346,500
347,488
348,539
349,522
350,505
351,508
352,495
353,523
354,493
355,493
356,487
357,498
358,523
359,550
360,550
361,473
362,544
363,480
364,506
365,493
366,493
367,523
368,498
369,487
370,445
371,524
372,507
373,492
374,500
375,487
376,501
377,527
378,507
379,517
380,462
381,501
382,514
383,505
384,505
385,504
386,500
387,523
388,524
389,493
390,507
391,523
392,501
393,482
394,521
395,496
396,485
397,476
398,516
399,516
400,506
401,498
402,521
403,522
404,550
405,487
406,493
407,506
408,492
409,515
410,519
411,514
412,501
413,496
414,522
415,501
416,505
417,498
418,553
419,502
420,445
421,501
422,519
423,517
424,550
425,487
426,495
427,514
428,506
429,496
430,510
431,493
432,511
433,526
434,495
435,505
436,476
437,492
438,522
439,491
440,498
441,510
442,496
443,534
444,495
445,487
446,487
447,531
448,515
449,483
450,516
451,481
452,522
453,498
454,523
455,499
456,504
457,493
458,485
459,487
460,505
461,520
462,507
463,531
464,523
465,520
466,514
467,507
468,510
469,523
470,501
471,492
472,528
473,515
474,507
475,554
476,516
477,495
478,539
479,532
480,492
481,522
482,553
483,543
484,500
485,493
486,528
487,498
488,517
489,476
490,469
491,506
492,504
493,514
494,498
495,500
496,522
497,527
498,496
499,499
500,499
501,498
502,516
503,492
504,532
505,494
506,521
507,482
508,510
509,491
510,510
511,480
512,496
513,522
514,520
515,496
516,499
517,496
518,490
519,515
520,497
521,506
522,523
523,522
524,520
525,492
526,508
527,491
528,513
529,522
530,496
531,487
532,480
533,493
534,471
535,516
536,522
537,487
538,498
539,505
540,495
541,515
542,523
543,506
544,537
545,488
546,505
547,515
548,487
549,507
550,495
551,495
552,527
553,493
554,487
555,487
556,520
557,505
558,516
559,491
560,502
561,496
562,498
563,491
564,506
565,504
566,450
567,499
568,522
569,502
570,523
571,498
572,511
573,480
574,491
575,539
576,511
577,487
578,523
579,537
580,505
581,515
582,529
583,547
584,498
585,490
586,524
587,498
588,496
589,487
590,522
591,522
592,532
593,558
594,517
595,460
596,500
597,504
598,500
599,487
600,496
601,485
602,515
603,523
604,491
605,504
606,568
607,480
608,525
609,498
610,506
611,487
612,515
613,530
614,523
615,524
616,491
617,517
618,539
619,539
620,487
621,514
622,496
623,480
624,480
625,515
626,553
627,550
628,522
629,529
630,532
631,534
632,491
633,524
634,497
635,516
636,522
637,492
638,487
639,436
640,522
641,522
642,471
643,527
644,500
645,495
646,492
647,487
648,523
649,505
650,521
651,522
652,539
653,504
654,515
655,506
656,522
657,492
658,528
659,493
660,522
661,498
662,537
663,502
664,497
665,510
666,497
667,499
668,482
669,493
670,515
671,507
672,493
673,499
674,495
675,511
676,485
677,498
678,539
679,521
680,504
681,493
682,528
683,507
684,493
685,517
686,523
687,505
688,487
689,481
690,481
691,505
692,482
693,525
694,498
695,565
696,497
697,450
698,532
699,499
700,523
701,505
702,499
703,490
704,516
705,528
706,480
707,528
708,493
709,493
710,522
711,550
712,522
713,523
714,476
715,502
716,522
717,502
718,516
719,539
720,487
721,529
722,528
723,555
724,516
725,475
726,523
727,506
728,532
729,522
730,547
731,528
732,501
733,528
734,492
735,519
736,495
737,500
738,542
739,531
740,492
741,522
742,504
743,504
744,522
745,500
746,522
747,537
748,498
749,507
750,537
751,522
752,522
753,501
754,522
755,506
756,543
757,487
758,469
759,510
760,499
761,513
762,499
763,493
764,533
765,480
766,532
767,519
768,514
769,489
770,523
771,511
772,513
773,516
774,527
775,500
776,524
777,491
778,517
779,501
780,528
781,491
782,502
783,493
784,521
785,506
786,523
787,492
788,521
789,507
790,498
791,515
792,521
793,504
794,523
795,522
796,491
797,532
798,490
799,492
800,499
801,522
802,506
803,505
804,550
805,523
806,506
807,500
808,502
809,497
810,550
811,511
812,497
813,476
814,505
815,487
816,523
817,510
818,521
819,495
820,493
821,515
822,497
823,502
824,526
825,514
826,522
827,498
828,539
829,495
830,491
831,532
832,517
833,522
834,505
835,498
836,537
837,487
838,516
839,545
840,519
841,497
842,527
843,515
844,522
845,516
846,482
847,504
848,537
849,510
850,504
851,522
852,528
853,487
854,514
855,516
856,544
857,498
858,521
859,495
860,507
861,487
862,506
863,522
864,504
865,524
866,497
867,517
868,498
869,515
870,488
871,522
872,480
873,506
874,528
875,529
876,517
877,528
878,505
879,495
880,506
881,487
882,500
883,513
884,504
885,475
886,480
887,529
888,519
889,511
890,488
891,498
892,523
893,498
894,487
895,441
896,504
897,522
898,514
899,520
900,506
901,506
902,532
903,499
904,511
905,522
906,506
907,532
908,517
909,505
910,523
911,527
912,498
913,528
914,520
915,490
916,498
917,532
918,555
919,558
920,498
921,498
922,523
923,568
924,550
925,500
926,499
927,493
928,517
929,481
930,516
931,498
932,491
933,501
934,487
935,523
936,522
937,550
938,515
939,487
940,485
941,529
942,491
943,504
944,528
945,506
946,522
947,480
948,499
949,507
950,481
951,501
952,515
953,528
954,315
955,519
956,516
957,506
958,498
959,511
960,489
961,501
962,494
963,532
964,498
965,505
966,505
967,526
968,502
969,495
970,495
971,491
972,481
973,517
974,513
975,505
976,544
977,520
978,498
979,497
980,522
981,487
982,555
983,514
984,522
985,519
986,485
987,506
988,522
989,480
990,493
991,524
992,505
993,507
994,481
995,481
996,523
997,516
998,506
999,493
1000,422
1001,516
1002,495
1003,522
1004,514
1005,522
1006,522
1007,505
1008,487
1009,506
1010,487
1011,522
1012,500
1013,448
1014,528
1015,537
1016,498
1017,504
1018,532
1019,523
1020,515
1021,502
1022,526
1023,526
1024,505
1025,519
1026,504
1027,490
1028,485
1029,515
1030,498
1031,528
1032,550
1033,488
1034,517
1035,506
1036,487
1037,523
1038,500
1039,497
1040,452
1041,528
1042,510
1043,506
1044,487
1045,505
1046,534
1047,498
1048,513
1049,516
1050,464
1051,528
1052,522
1053,529
1054,483
1055,522
1056,505
1057,507
1058,436
1059,482
1060,534
1061,493
1062,522
1063,491
1064,469
1065,500
